ProductName,BasePrice,ModifiedPrice,Rating,TotalSales,AvgSales,SalesTrend,MarkupPercent,Category_Books,Category_Electronics,Category_Fashion,Category_Home,CompetitorPrice,DemandScore,CompetitorAdjustment
Eyeliner,4786.02,5904.58,1.1,120,30.0,1,19.99991642324937,0,0,0,0,4648.903711324411,0.3967381193124368,1.0294943275210418
Smartphone,1183.61,1615.44,3.0,148,37.0,6,19.99983102542223,0,1,0,0,1131.7523790022162,0.6100808897876643,1.0458206423595087
Smartwatch,2602.63,3400.81,4.2,83,20.75,34,20.000153690689796,0,1,0,0,2624.854421382031,0.6356830131445905,0.9915330841965974
Dress,3880.21,5662.03,4.9,115,28.75,22,19.999948456397977,0,0,1,0,3601.552117397865,0.7088255813953489,1.0773716091059835
Sneakers,4674.47,5388.72,1.4,114,28.5,11,19.999914428801542,0,0,1,0,4956.992144125068,0.4449453993933266,0.9430053274423871
Eyeliner,1615.23,2131.16,3.2,140,35.0,-34,20.00024764275057,0,0,0,0,1477.7902872381753,0.41429524772497484,1.0930035296271192
Novel,331.75,390.08,2.2,136,34.0,17,20.000000000000007,1,0,0,0,364.05494824344436,0.5806349848331648,0.9112635375530126
Dress,4310.7,4566.1,1.1,96,24.0,-20,20.00000000000001,0,0,1,0,4545.413105401421,0.2338463094034378,0.9483626460436554
Perfume,2028.61,2623.41,2.1,71,17.75,24,19.9999014103253,0,0,0,0,1906.3723237434074,0.43056268958543986,1.0641205680202928
Curtains,4367.51,5627.16,1.8,101,25.25,-13,19.99995420731721,0,0,0,1,3935.5825803517014,0.32199140546006066,1.109749296534822
Lipstick,3893.19,4420.35,2.8,82,20.5,5,20.000051371754264,0,0,0,0,4138.820255729216,0.41408190091001007,0.9406521084385824
Foundation,2005.31,2409.2,4.5,106,26.5,-12,19.999900264796963,0,0,0,0,2088.272620038213,0.5022295247724975,0.9602721315013483
Blender,3843.01,4861.47,3.8,111,27.75,25,19.999947957460414,0,0,0,1,4019.0253673706393,0.6459095045500505,0.9562044646944358
Foundation,1284.02,1467.59,3.3,78,19.5,0,19.999688478372608,0,0,0,0,1353.6833101103375,0.40995652173913044,0.9485379559679588
Laptop,3608.91,5006.34,1.9,103,25.75,31,19.999944581604968,0,1,0,0,3301.4630968179354,0.538077350859454,1.0931244403362839
Jeans,2212.61,3017.96,4.1,113,28.25,21,19.999909609013788,0,0,1,0,2149.977971126869,0.6507396359959555,1.0291314747007867
Smartphone,3109.93,3955.41,3.6,124,31.0,-44,20.00012862025834,0,1,0,0,2871.0059328577972,0.34830535894843273,1.0832196354621872
Notebook,1977.02,2379.36,1.4,125,31.25,34,19.99979767528908,1,0,0,0,2120.5925470049133,0.5818134479271991,0.932296023954393
Novel,4809.53,5814.97,2.8,102,25.5,7,20.00008316820978,1,0,0,0,4928.131207984188,0.477732052578362,0.9759338371932874
Biography,3934.79,5468.48,4.1,95,23.75,39,20.000050828633803,1,0,0,0,3801.7138478419915,0.6855475227502528,1.0350042526829177
Smartphone,2672.22,3667.68,4.3,127,31.75,-21,19.999850311725837,0,1,0,0,2438.9663789602637,0.5054342770475226,1.0956362592989792
Dress,2935.86,3838.68,4.1,96,24.0,2,19.99993187686061,0,0,1,0,2824.874111806429,0.5161718907987866,1.039288790863179
Tablet,4363.63,5829.17,4.8,88,22.0,11,20.000091666800337,0,1,0,0,4211.062939899115,0.5782932254802831,1.036230059317171
Novel,100.43,116.57,1.7,108,27.0,7,20.003982873643324,1,0,0,0,105.04186969809837,0.42803640040444896,0.9560949389862027
Vacuum Cleaner,1444.43,1915.58,4.4,115,28.75,32,20.000276925846173,0,0,0,1,1484.168427669922,0.7253372093023256,0.9732251226147497
Notebook,2618.76,2798.72,2.9,68,17.0,-12,19.9999236279766,1,0,0,0,2821.5634483498366,0.30296865520728006,0.9281237327948645
Comics,519.56,566.71,1.1,62,15.5,-14,19.999615058896005,1,0,0,0,516.6727973034284,0.16936198179979778,1.0055880679448195
Laptop,4310.86,5708.17,3.9,92,23.0,-8,19.999953605545063,0,1,0,0,3982.884810209117,0.4467906976744186,1.0823461399009586
Perfume,906.14,1123.15,1.2,163,40.75,15,20.00022071644557,0,0,0,0,944.7859262988488,0.5847022244691608,0.9590955736922941
Comics,1217.65,1329.32,1.1,68,17.0,10,20.0,1,0,0,0,1281.1589828896733,0.2972942366026289,0.9504284919062678
Smartphone,4200.99,5463.2,2.8,106,26.5,38,20.00004760782577,0,1,0,0,4252.474978843496,0.6327876643073812,0.987892937853923
Smartwatch,2374.61,2582.47,2.2,114,28.5,-32,19.99991577564316,0,1,0,0,2503.2982750383803,0.2929453993933266,0.9485925123979054
Dress,3060.29,3754.79,2.1,99,24.75,12,20.00006535328351,0,0,1,0,3056.4925451195963,0.45083569261880685,1.0012424224251641
Magazine,3965.66,4824.94,1.9,137,34.25,-9,19.99994956703298,1,0,0,0,3983.6901344333996,0.4444221435793731,0.9954740118269856
Tablet,1940.55,2392.38,2.5,115,28.75,-7,20.0,0,1,0,0,1912.4279446351368,0.4299418604651163,1.0147048966962404
Laptop,2542.2,3716.62,4.0,141,35.25,5,20.000000000000004,0,1,0,0,2300.9041008017675,0.6464079878665319,1.1048700374405656
Notebook,1038.71,1278.15,3.2,16,4.0,7,19.999807453475945,1,0,0,0,957.2525808264431,0.2680364004044489,1.0850950112907825
